play_id,period,strength,period_time,remain_time,play_code,play_description,visit_player_on_ice,home_player_on_ice,player_one,player_two,player_three,player_four,date_time,coordinates,play_year,play_month,play_day,play_time,x_coord,y_coord
193,2,EV,15:00,5:00,SHOT,"TBL ONGOAL - #17 KILLORN, Wrist, Off. Zone, 12 ft.","{'C': '11', 'R': '17', 'L': '43', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Alex Killorn,Tristan Jarry,,,2021-10-13T01:07:23Z,"{'x': -77.0, 'y': -2.0}",2021,10,12,21:07:23,-77.0,-2.0
194,2,EV,15:01,4:59,SHOT,"TBL ONGOAL - #21 POINT, Backhand, Off. Zone, 10 ft.","{'C': '11', 'R': '17', 'L': '43', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Brayden Point,Tristan Jarry,,,2021-10-13T01:07:24Z,"{'x': -81.0, 'y': 6.0}",2021,10,12,21:07:24,-81.0,6.0
195,2,,15:02,4:58,STOP,"GOALIE STOPPED (AFTER SOG),TV TIMEOUT","{'C': '11', 'R': '17', 'L': '43', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",,,,,2021-10-13T01:07:25Z,{},2021,10,12,21:07:25,,
196,2,EV,15:02,4:58,FAC,PIT won Def. Zone - PIT #77 CARTER vs TBL #21 POINT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '81', 'D2': '98', 'G': '88'}",Jeff Carter,Brayden Point,,,2021-10-13T01:09:51Z,"{'x': -69.0, 'y': 22.0}",2021,10,12,21:09:51,-69.0,22.0
197,2,EV,15:21,4:39,BLOCK,"TBL #21 POINT BLOCKED BY  PIT #43 HEINEN, Wrist, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '81', 'D2': '98', 'G': '88'}",Danton Heinen,Brayden Point,,,2021-10-13T01:10:10Z,"{'x': -78.0, 'y': 2.0}",2021,10,12,21:10:10,-78.0,2.0
198,2,EV,15:45,4:15,SHOT,"TBL ONGOAL - #18 PALAT, Wrist, Off. Zone, 40 ft.","{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '24', 'D2': '27', 'G': '88'}",Ondrej Palat,Tristan Jarry,,,2021-10-13T01:10:34Z,"{'x': -53.0, 'y': -19.0}",2021,10,12,21:10:34,-53.0,-19.0
199,2,EV,16:09,3:51,PENL,"TBL TEAM Too many men/ice - bench(2 min) Served By: #14 MAROON, Off. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '79', 'R': '10', 'L': '14', 'D1': '24', 'D2': '27', 'G': '88'}",Pat Maroon,,,,2021-10-13T01:10:58Z,"{'x': -37.0, 'y': 40.0}",2021,10,12,21:10:58,-37.0,40.0
200,2,SH,16:09,3:51,FAC,TBL won Def. Zone - PIT #77 CARTER vs TBL #71 CIRELLI,"{'C': '77', 'R': '42', 'L': '16', 'D1': '58', 'G': '35'}","{'C': '71', 'D1': '27', 'D2': '81', 'G': '88'}",Anthony Cirelli,Jeff Carter,,,2021-10-13T01:12:04Z,"{'x': 69.0, 'y': -22.0}",2021,10,12,21:12:04,69.0,-22.0
201,2,PP,16:32,3:28,HIT,"PIT #16 ZUCKER HIT TBL #81 CERNAK, Off. Zone","{'C': '77', 'R': '42', 'L': '16', 'D1': '58', 'G': '35'}","{'C': '71', 'D1': '27', 'D2': '81', 'G': '88'}",Jason Zucker,Erik Cernak,,,2021-10-13T01:12:27Z,"{'x': 91.0, 'y': 32.0}",2021,10,12,21:12:27,91.0,32.0
202,2,PP,17:25,2:35,BLOCK,"TBL #7 JOSEPH BLOCKED BY  PIT #58 LETANG, Wrist, Def. Zone","{'C': '77', 'R': '17', 'L': '16', 'D1': '58', 'G': '35'}","{'R': '7', 'L': '41', 'D1': '77', 'D2': '98', 'G': '88'}",Kris Letang,Mathieu Joseph,,,2021-10-13T01:13:20Z,"{'x': -77.0, 'y': 7.0}",2021,10,12,21:13:20,-77.0,7.0
203,2,,17:33,2:27,STOP,ICING,"{'C': '18', 'R': '17', 'L': '16', 'D1': '58', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '77', 'D2': '98', 'G': '88'}",,,,,2021-10-13T01:13:29Z,{},2021,10,12,21:13:29,,
204,2,PP,17:33,2:27,FAC,PIT won Def. Zone - PIT #9 RODRIGUES vs TBL #41 BELLEMARE,"{'C': '9', 'R': '17', 'L': '43', 'D1': '58', 'G': '35'}","{'C': '17', 'L': '41', 'D1': '77', 'D2': '98', 'G': '88'}",Evan Rodrigues,Pierre-Edouard Bellemare,,,2021-10-13T01:14:04Z,"{'x': -69.0, 'y': -22.0}",2021,10,12,21:14:04,-69.0,-22.0
205,2,SH,18:03,1:57,BLOCK,"PIT #9 RODRIGUES BLOCKED BY  TBL #77 HEDMAN, Wrist, Def. Zone","{'C': '9', 'L': '43', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '17', 'L': '41', 'D1': '77', 'D2': '98', 'G': '88'}",Victor Hedman,Evan Rodrigues,,,2021-10-13T01:14:34Z,"{'x': 79.0, 'y': 0.0}",2021,10,12,21:14:34,79.0,0.0
206,2,EV,18:49,1:11,SHOT,"PIT ONGOAL - #53 BLUEGER, Wrist, Off. Zone, 15 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '6', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",Teddy Blueger,Andrei Vasilevskiy,,,2021-10-13T01:15:20Z,"{'x': 80.0, 'y': 12.0}",2021,10,12,21:15:20,80.0,12.0
207,2,EV,19:01,0:59,BLOCK,"TBL #81 CERNAK BLOCKED BY  PIT #2 RUHWEDEL, Wrist, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '6', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",Chad Ruhwedel,Erik Cernak,,,2021-10-13T01:15:32Z,"{'x': -77.0, 'y': -1.0}",2021,10,12,21:15:32,-77.0,-1.0
208,2,EV,19:10,0:50,HIT,"PIT #2 RUHWEDEL HIT TBL #81 CERNAK, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '6', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",Chad Ruhwedel,Erik Cernak,,,2021-10-13T01:15:41Z,"{'x': -95.0, 'y': 15.0}",2021,10,12,21:15:41,-95.0,15.0
209,2,,19:44,0:16,STOP,OFFSIDE,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,2021-10-13T01:16:15Z,{},2021,10,12,21:16:15,,
210,2,EV,19:44,0:16,FAC,PIT won Neu. Zone - PIT #77 CARTER vs TBL #91 STAMKOS,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",Jeff Carter,Steven Stamkos,,,2021-10-13T01:16:40Z,"{'x': 20.0, 'y': 22.0}",2021,10,12,21:16:40,20.0,22.0
211,2,EV,19:56,0:04,SHOT,"PIT ONGOAL - #8 DUMOULIN, Wrist, Off. Zone, 64 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",Brian Dumoulin,Andrei Vasilevskiy,,,2021-10-13T01:16:51Z,"{'x': 30.0, 'y': 27.0}",2021,10,12,21:16:51,30.0,27.0
212,2,,20:00,0:00,PEND,Period End- Local time: 9:17 EDT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,2021-10-13T01:16:55Z,{},2021,10,12,21:16:55,,
213,3,,00:00,20:00,PSTR,Period Start- Local time: 9:35 EDT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,2021-10-13T01:35:37Z,{},2021,10,12,21:35:37,,
214,3,EV,00:00,20:00,FAC,TBL won Neu. Zone - PIT #77 CARTER vs TBL #71 CIRELLI,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",Anthony Cirelli,Jeff Carter,,,2021-10-13T01:35:37Z,"{'x': 0.0, 'y': 0.0}",2021,10,12,21:35:37,0.0,0.0
215,3,EV,00:12,19:48,SHOT,"TBL ONGOAL - #71 CIRELLI, Wrist, Off. Zone, 25 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",Anthony Cirelli,Tristan Jarry,,,2021-10-13T01:35:49Z,"{'x': 74.0, 'y': -20.0}",2021,10,12,21:35:49,74.0,-20.0
216,3,EV,00:27,19:33,TAKE,"TBL TAKEAWAY - #17 KILLORN, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",Alex Killorn,,,,2021-10-13T01:36:04Z,"{'x': -81.0, 'y': 36.0}",2021,10,12,21:36:04,-81.0,36.0
217,3,EV,00:45,19:15,MISS,"TBL #77 HEDMAN, Slap, Wide of Net, Off. Zone, 54 ft.","{'C': '77', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Victor Hedman,Tristan Jarry,,,2021-10-13T01:36:22Z,"{'x': 39.0, 'y': 21.0}",2021,10,12,21:36:22,39.0,21.0
218,3,EV,1:03,18:57,SHOT,"TBL ONGOAL - #44 RUTTA, Wrist, Off. Zone, 52 ft.","{'C': '53', 'L': '23', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,,,,,,,
219,3,,1:03,18:57,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '53', 'L': '23', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,,,,,,,
220,3,EV,1:03,18:57,FAC,TBL won Off. Zone - PIT #53 BLUEGER vs TBL #21 POINT,"{'C': '53', 'L': '23', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,,,,,,,
221,3,EV,1:35,18:25,HIT,"PIT #23 MCGINN HIT TBL #77 HEDMAN, Off. Zone","{'C': '53', 'L': '23', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,,,,,,,
222,3,EV,1:38,18:22,SHOT,"PIT ONGOAL - #53 BLUEGER, Wrist, Off. Zone, 36 ft.","{'C': '53', 'L': '23', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,,,,,,,
223,3,,1:38,18:22,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,,,,,,,
224,3,EV,1:38,18:22,FAC,PIT won Off. Zone - PIT #9 RODRIGUES vs TBL #41 BELLEMARE,"{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,,,,,,,
225,3,EV,1:44,18:16,SHOT,"PIT ONGOAL - #2 RUHWEDEL, Wrist, Off. Zone, 55 ft.","{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,,,,,,,
226,3,,1:48,18:12,STOP,ICING,"{'C': '9', 'R': '42', 'L': '16', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,,,,,,,
