,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
78,79,1,EV,12:15,7:45,MISS,"TBL #77 HEDMAN, Wrist, Wide of Net, Off. Zone, 53 ft.","{'C': '77', 'R': '17', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Victor Hedman,Tristan Jarry,,,2021-10-13T00:08:09Z,"{'x': 48.0, 'y': 34.0}"
79,80,1,EV,12:19,7:41,GIVE,"TBL GIVEAWAY - #98 SERGACHEV, Off. Zone","{'C': '77', 'R': '17', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Mikhail Sergachev,,,,2021-10-13T00:08:13Z,"{'x': 28.0, 'y': -37.0}"
80,81,1,EV,12:26,7:34,SHOT,"PIT ONGOAL - #77 CARTER, Wrist, Off. Zone, 41 ft.","{'C': '77', 'R': '17', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Jeff Carter,Andrei Vasilevskiy,,,2021-10-13T00:08:20Z,"{'x': -48.0, 'y': 4.0}"
81,82,1,EV,12:31,7:29,MISS,"TBL #77 HEDMAN, Wrist, Wide of Net, Off. Zone, 48 ft.","{'C': '77', 'R': '17', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Victor Hedman,Tristan Jarry,,,2021-10-13T00:08:25Z,"{'x': 49.0, 'y': 28.0}"
82,83,1,EV,12:36,7:24,BLOCK,"PIT #77 CARTER BLOCKED BY  TBL #77 HEDMAN, Wrist, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Victor Hedman,Jeff Carter,,,2021-10-13T00:08:30Z,"{'x': -82.0, 'y': 8.0}"
83,84,1,EV,12:50,7:10,GIVE,"PIT GIVEAWAY - #8 DUMOULIN, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '98', 'G': '88'}",Brian Dumoulin,,,,2021-10-13T00:08:44Z,"{'x': 87.0, 'y': -29.0}"
84,85,1,,12:56,7:04,STOP,OFFSIDE,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '98', 'G': '88'}",,,,,2021-10-13T00:08:50Z,{}
85,86,1,EV,12:56,7:04,FAC,TBL won Neu. Zone - PIT #53 BLUEGER vs TBL #41 BELLEMARE,"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Pierre-Edouard Bellemare,Teddy Blueger,,,2021-10-13T00:09:18Z,"{'x': 20.0, 'y': -22.0}"
86,87,1,EV,13:05,6:55,HIT,"TBL #14 MAROON HIT PIT #2 RUHWEDEL, Off. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Pat Maroon,Chad Ruhwedel,,,2021-10-13T00:09:27Z,"{'x': 98.0, 'y': 18.0}"
87,88,1,EV,13:29,6:31,MISS,"PIT #53 BLUEGER, Wrist, Wide of Net, Off. Zone, 43 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Teddy Blueger,Andrei Vasilevskiy,,,2021-10-13T00:09:51Z,"{'x': -61.0, 'y': 33.0}"
